City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
294,Kavieng,PG,82.02,overcast clouds,-2.5744,150.7967,Kavieng Hotel
295,Richards Bay,ZA,82.06,overcast clouds,-28.783,32.0377,Protea Hotel
303,Bacolod,PH,82.31,overcast clouds,10.6667,122.95,Northwest Inn
304,Nanakuli,US,78.75,clear sky,21.3906,-158.1547,No hotel found
305,Hobyo,SO,80.47,broken clouds,5.3505,48.5268,No hotel found
309,Ciudad Bolivar,VE,74.55,overcast clouds,8.1222,-63.5497,Paoca
311,Saint-Pierre,RE,84.9,few clouds,-21.3393,55.4781,Tropic Hotel
317,Si Sa Ket,TH,87.26,broken clouds,14.8333,104.3333,No hotel found
319,Dingle,PH,81.99,overcast clouds,10.9995,122.6711,No hotel found
322,Belmonte,BR,74.43,clear sky,-15.8631,-38.8828,No hotel found
326,Soyo,AO,78.66,light rain,-6.1349,12.3689,Hotel Maria Teres
332,Marawi,PH,76.3,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
335,Tawau,MY,87.93,overcast clouds,4.2498,117.8871,Eden boutique
336,Alyangula,AU,85.77,light rain,-13.8483,136.4192,No hotel found
338,Luis Correia,BR,76.44,overcast clouds,-2.8792,-41.6669,Hotel Amaro
345,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,No hotel found
348,Baculin,PH,82.45,broken clouds,7.4525,126.5842,No hotel found
352,Mahebourg,MU,83.25,light rain,-20.4081,57.7,Grand Bel Air
355,Bac Lieu,VN,85.3,broken clouds,9.285,105.7244,Khách sạn Bạc Liêu
356,Rio Grande,BR,73.0,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
357,Cayenne,GF,73.44,broken clouds,4.9333,-52.3333,Central Hôtel
358,Taunggyi,MM,72.66,clear sky,20.7833,97.0333,Golden Island Cottages
363,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,No hotel found
366,Puerto Ayacucho,VE,73.65,overcast clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
369,Tautira,PF,79.72,light rain,-17.7333,-149.15,No hotel found
376,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,No hotel found
384,Te Anau,NZ,75.31,few clouds,-45.4167,167.7167,Lakeside Motels & Apartments
385,Maumere,ID,83.16,broken clouds,-8.6199,122.2111,Bogor
386,San Andres,CO,78.82,light rain,12.5847,-81.7006,Hotel Decameron Isleño
388,Sao Filipe,CV,75.94,scattered clouds,14.8961,-24.4956,Bela Vista
389,Cap Malheureux,MU,83.46,overcast clouds,-19.9842,57.6142,Cape Garden
391,Puri,IN,77.52,scattered clouds,19.8,85.85,Divine Beach Homestay
394,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,The Adventures Inn
400,Praia,CV,72.14,clear sky,14.9215,-23.5087,Casa Sodadi
401,Pantai Remis,MY,87.82,overcast clouds,4.4557,100.6288,Hotel Lam Seng
405,Sola,VU,79.99,moderate rain,-13.8833,167.55,No hotel found
410,Pointe-Noire,CG,78.39,overcast clouds,-4.7761,11.8635,HÔTEL F.A.R.E
414,Dunmore Town,BS,71.71,clear sky,25.5,-76.65,The Landing Hotel & Restaurant
